Link ID,Article Link
1,<a href="https://www.kff.org/health-reform/fact-sheet/the-georgia-health-care-landscape/">The Georgia Health Care Landscape</a>

2,<a href="https://www.kff.org/about-kaiser-media-fellowships-in-health-reporting/">About Kaiser Media Fellowships in Health Reporting</a>

3,<a href="https://www.kff.org/womens-health-policy/fact-sheet/sexually-transmitted-infections-stis-an-overview-payment-and-coverage/">Sexually Transmitted Infections (STIs): An Overview, Payment, and Coverage</a>

4,<a href="https://www.kff.org/health-reform/fact-sheet/the-georgia-health-care-landscape/">The Georgia Health Care Landscape</a>

5,<a href="https://www.kff.org/about-kaiser-media-fellowships-in-health-reporting/">About Kaiser Media Fellowships in Health Reporting</a>

6,<a href="https://www.kff.org/womens-health-policy/fact-sheet/sexually-transmitted-infections-stis-an-overview-payment-and-coverage/">Sexually Transmitted Infections (STIs): An Overview, Payment, and Coverage</a>

7,<a href="https://www.kff.org/health-reform/fact-sheet/the-georgia-health-care-landscape/">The Georgia Health Care Landscape</a>

8,<a href="https://www.kff.org/about-kaiser-media-fellowships-in-health-reporting/">About Kaiser Media Fellowships in Health Reporting</a>

9,<a href="https://www.kff.org/womens-health-policy/fact-sheet/sexually-transmitted-infections-stis-an-overview-payment-and-coverage/">Sexually Transmitted Infections (STIs): An Overview, Payment, and Coverage</a>

